Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Nazarband,2020,85,Drama,,35,Suman Mukhopadhyay,Tanmay Dhanania,Indira Tiwari,,17,3.49
Neighbours,2014,125,Horror,3.2,42,Shyam Ramsay,Sunny Singh,Hritu,Gavie Chahal,65,0.02
Newton,2017,106,Comedy,7.7,"17,734",Amit Masurkar,Rajkummar Rao,Pankaj Tripathi,Anjali Patil,29,0.5495
NH-8: Road to Nidhivan,2015,95,Horror,2.7,"17,734",Munindra,Auroshika Dey,Arjun Fauzdar,Swaroopa Ghosh,15,3.9
Prithviraj,2021,90,Action,3.2,"17,734", Chandraprakash Dwivedi, Akshay Kumar,Sonu Sood,Manushi Chhillar,28,33
Jhund,2021,175,Drama,8.6,134,Nagraj Manjule,Amitabh Bachchan,Ankush Gedam,Rinku Rajguru,22,2.3
Bhool Bhulaiyaa 2,2021,159,Comedy,7.4,174,Anees Bazmee,Kartik Aaryan,Tabu,Kiara Advani,21,169
Bell Bottom,2021,123,Action,8,"1,733",Ranjit Tiwari,Akshay Kumar,Vaani Kapoor,Lara Dutta,25,20.3
Sitapur The City Of Gangsters,2021,127,Drama,5,"7,738",Mobeen Warsi,Jabbar Akram,Mirza Azhar,Ravi Sudha,24,123.5
Shershaah,2021,106,Action,9,"1,752",Vishnuvarshan,Sidharth Malhotra,Kiara Advani,Shiv Panditt,55,125.92
Sardar Ka Grandson,2021,156,Drama,4.3,"1,734",Kaashvi Nair,Arjun Kapoor,Neena Gupta,Rakul Preet Singh,30,254.33
Kabaad The Coin,2021,189,Drama,6.5,738,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj,55,137.57
Dhaakad,2021,90,Thriller,5.5,184,Razneesh Ghai,Arjun Rampal,Kangana Ranaut,Divya Dutta,80,315
Bachchan Pandey,2021,126,Comedy,6.8,"2,834",Farhad Samji,Akshay Kumar,Kriti Sanon,Jacqueline Fernandez,180,100
A Wednesday,2008,104,Action,8.1,"77,908",Neeraj Pandey,Anupam Kher,Naseerunddin Shah,Virendra Saxena,3,16
Special 26,2013,144,Crime,8,"55,489",Neeraj Pandey,Akshay Kumar,Manoj Bajpayee,Anupam Kher,50,103
Oh My God,2012,125,Comedy,8.1,"57,450",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mahesh Manjrekar,20,180
Karwaan,2018,114,Adventure,7.6,"15,436",Akarsh Khurana,Irrfaan Khan,Mithila Palkar,Amala Akkineni,23,26.4
October,2018,115,Drama,7.5,"15,428",Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao,33,58
Sui Dhaaga,2018,122,Comedy,6.7,"8,231",Sharat Katariya,Varun Dhawan,Anushka Sharma,Ashish Verma,40,125
102 Not Out,2018,102,Comedy,7.4,"7,112",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Jimit Trivedi,35,115
Kai Po Che,2013,120,Sport,7.7,"36,557",Abhishek Kapoor,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri,30,72.16
Bareilly ki Barfi,2017,116,Comedy,7.5,"23,011",Ashwiny Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao,20,58.75
Article 15,2019,130,Crime,8.2,"32,427",Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa,30,93
Chichhore,2019,143,Comedy,8.2,"49,827",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,50,215
Section 375,2019,124,Crime,8.1,"15,316",Ajay Bahl,Akshaye Khanna,Richa Bhatt,Meera Chopra,20,11
Gully Boy,2019,154,Drama,8,"38,133",Zoya Akhtar,Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi,70,240
Raazi,2018,138,Action,7.7,"30,000",Meghna Gulzar,Vicky Kaushal,Alia bhatt,Rajit Kapoor,40,197
Kesari,2019,150,Action,7.4,"19,434",Anurag Singh,Akshay Kumar,Parineeti Chopra,Suvinder Vicky,80,207
Hindi Medium,2017,132,Comedy,7.8,"27,949",Saket Chaudhary,Irrfaan Khan,Saba Qamar,Dishita Sehgal,14,322
Andhadhun,2018,139,Comedy,8.2,"89,013",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,32,456
PK,2014,153,Comedy,8.1,"1,79,383",Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,84,854
Gangs of Wasseypur,2012,321,Action,8.2,"93,616",Anurag Kashyap,Nawazuddin Siddiqui,Richa Chadha,Manoj Bajpayee,9,27
Talvar,2015,132,Crime,8.1,"34,649",Meghna Gulzar,Irrfaan Khan,Neeraj Kabi,Sohum Shah,15,30
Queen,2013,146,Adventure,8.1,"64,022",Vikas Bahl,Rajkummar Rao,Kangana Ranaut,Lisa Haydon,12,95
The Body,2019,101,Mystery,5.4,"3,371",Jeethu Joseph,Emraan Hashmi,Rishi Kapoor,Vedhika,19,4
Sonu Ke Titu Ki Sweety,2018,138,Comedy,7.1,"21,909",Luv Ranjan,Kartik Aaryan,Nushrratt Bharuccha,Sunny Singh Nijjar,20,152
Dum Laga Ke Haisha,2015,109,Comedy,7.5,"19,618",Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava,14,113
Zindagi Na Milegi Dobara,2011,155,Comedy,8.1,"75,804",Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Katrina Kaif,60,153
Dear Zindagi,2016,151,Drama,7.4,"39,648",Gauri Shinde,Shah Rukh Khan,Alia bhatt,Kunal Kapoor,46,138
Pataakha,2018,134,Action,7.2,"4,175",Vishal Bhardwaj,Sunil Grover,Radhika Madan,Sanya Malhotra,19,10
Karthik Calling Karthik,2010,135,Drama,7.1,"11,978",Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor,20,18
Bhaag Milkha Bhaag,2013,186,Biography,8.2,"66,751",Rakeysh Omprakash Mehra,Farhan Akhtar,Japtej Singh,Divya Dutta,53,163
Delhi Belly,2011,103,Crime,7.5,"29,412",Abhinay Deo,Imran Khan,Vir Das,Kunaal Roy Kapoor,23,73
Super 30,2019,154,Biography,7.9,"29,309",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Virendra Saxena,60,208
Pyaar Ka Punchnama,2011,149,Comedy,7.6,"21,350",Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Nushrratt Bharuccha,10,17
Parmanu: The Story of Pokhran,2018,129,History,7.6,"23,772",Abhishek Sharma,John Abraham,Boman Irani,Diana Penty,44,91
Pink,2016,136,Crime,8.1,"44,145",Aniruddha Roy Chawdhary,Amitabh Bachchan,Taapsee Pannu,Kirti Kulhari,30,157
Madras Cafe,2013,130,Action,7.6,"24,407",Shoojit Sircar,Nargis Fakhri,John Abraham,Raashi Khanna,35,67
Kaabil,2017,139,Action,7.1,"26,517",Sanjay Gupta,Hrithik Roshan,Yami Gautam,Abhinay Raj Singh,35,178
Ludo,2020,149,Action,7.6,"38,118",Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao,21,43
Lootcase,2020,132,Comedy,7.6,"17,213",Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz,20,10
Sardar Udham,2021,164,Biography,8.5,"39,078",Shoojit Sircar,Vicky Kaushal,Shaun Scott,Amol Parashar,30,25
Dil Bechara,2020,101,Romance,8,"1,28,504",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,38,50
Dulha Mil Gaya,2010,152,Romance,4.5,"13,557",Muddassar Aziz,Shah Rukh Khan,Sushmita Sen,Fardeen Khan,25,12
Pyaar Impossible!,2010,141,Romance,5,"23,189",Jugal Hansraj,Anupam Kher,Uday Chopra,Priyanka Chopra Jonas,14,9
Chance pe dance,2010,158,Romance,5,"98,257",Ken Ghosh,Shahid Kapoor,Genellia D'Souza,Vikas Bhalla,29,16
Hello! Hum Lallan Bol Rahe Hain,2010,130,Comedy,6,"56,297",Dileep Shukla,Rajpal Yadav,Preeti Mehra,,2,7
Ishqiya,2010,115,Comedy,7,"11,658",Abhishek Chaubey,Naseeruddin Shah,Vidya Balan,Rajesh Sharma,19,31
Rann,2010,137,History,8,"65,973",Ram Gopal Varma,Riteish Deshmukh,Amitabh Bachchan,Paresh Rawal,30,13
My Name is Khan,2010,165,Thriller,8,"79,214",Karan Johar,Shah Rukh Khan,Kajol,Vinay Pathak,50,223
Atithi Tum Kab Jaoge? ,2010,115,Comedy,7,"59,201",Ashwni Dhir,Ajay Devgn,Paresh Rawal,Konkona Sen Sharma,15,29
Hello Zindagi,2010,95,Drama,6,"12,059",Raja Unnithan,Milind Gunaji,Mrunmayee Lagoo,Neena Gupta,0.8,0.08
Housefull,2010,155,Comedy,6,"89,054",Sajid Khan,Akshay Kumar,Deepika Padukone,Arjun Rampal,30,124
Paa,2009,133,Comedy,7.2,"11,492",R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,13,102
Paan Singh Tomar,2012,135,Action,8.2,"34,161",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,7,20
Paathshaala,2010,122,Drama,4.9,"1,660",Milind Ukey,Nana Patekar,Adil Feroz Khan,Shahid Kapoor,14,17
Pad Man,2018,140,Comedy,7.9,"22,611",R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor,35,78.22
Padmaavat,2018,164,History,7,"28,573",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Shahid Kapoor,215,585
Pagalpanti,2019,149,Action,3.2,"2,118",Anees Bazmee,Anil Kapoor,John Abraham,Ileana D'Cruz,72,49.17
