Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Kaabil,2017,139,Action,7.1,"26,517",Sanjay Gupta,Hrithik Roshan,Yami Gautam,Abhinay Raj Singh,350000000,1780000000
Kabaad The Coin,2021,189,Drama,6.5,738,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj,550000000,1375700000
Kabhi Khushi Kabhie Gham...,2001,210,Drama/ Musical/ Romance,7.4,"46,172",Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan,300000000,1360000000
Kai Po Che,2013,120,Sport/Drama,7.7,"36,557",Abhishek Kapoor,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri,300000000,721600000
Kal Ho Naa Ho,2003,186,Comedy/ Drama/ Musical,7.9,"64,972",Nikkhil Advani,Saif Ali Khan,Shah Rukh Khan,Preity Zinta,220000000,860000000
Kalank,2019,166,Drama/ Romance,3.6,"11,873",Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit,1500000000,1460000000
kapoor & sons,2016,120,Romance/ Drama,7.7,1456,Shakun Batra,Rishi Kapoor,Fawad Khan,Alia Bhatt,280000000,1480000000
Karthik Calling Karthik,2010,135,Drama,7.1,"11,978",Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor,200000000,180000000
Karwaan,2018,114,Adventure/ Comedy/ Drama,7.6,"15,436",Akarsh Khurana,Irrfaan Khan,Mithila Palkar,Amala Akkineni,230000000,264000000
Kashmir Files,2022,170,Action/ Drama,8.3,1239,Vivek Agnihotri,Pallavi Joshi,Anupam Kher,Darshan Kumar,140000000,2397800000
Kedarnath,2018,116,Drama/ Romance,6.9,"11,446",Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj,350000000,960000000
Kesari,2019,150,History/Action,7.4,"19,434",Anurag Singh,Akshay Kumar,Parineeti Chopra,Suvinder Vicky,800000000,2070000000
khoobsurat,2014,130,Romance,6.4,246,Shashanka ghosh,Fawad Khan,Sonam Kapoor,Ratna Pathak shah,230000000,800000000
Kidnap,2008,,Action/ Crime/ Drama,4.6,456,Sanjay Gadhvi,Sanjay Dutt,Imran Khan,Vidya Malvade,310000000,341500000
krrish 3,2013,152,sci-fi/Action,5.3,8079,rakesh roshan,Hrithik Roshan,Kangana Ranaut,vivek oberoi,1150000000,3940000000
Laat Sahab,2010,143,Drama/ Family/ Romance,,,Dinesh Chaudhary,Sangeeta Choudhary,Kavita Joshi,Uttar Kumar,16000000,100000
Ladies First,2014,106,Romance,3.6,20,Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi,50000000,840000000
Lafda,c,106,Drama,,,Pratap Kumar,Vivek Sharma,Uttar Kumar,Monu Dhankad,460000000,58200000
Lagna Pahave Karun,2013,125,Romance,6.5,55,Ajay Naik,Umesh Kamat,Mukta Barve,Siddharth Chandekar,360000000,89000000
Lagori,2017,48,Drama/ Mystery/ Thriller,7.2,13,K Sukumar,Abhijeet K.,Kainat Ahmed,Akash,350000000,13900000
Laila Manju,2020,,,6.7,7,Prem Soni,Jimmy Sheirgill,Shashank Vyas,Abhimanyu Tomar,320000000,56000000
Lakme,2016,110,Romance,,,Sanjay Khandelwal,Prince Adhikari,Rayya Labib,S.A. Rashid,680000000,16000000
Lashtam Pashtam,2018,108,Drama,6,77,Manav Bhalla,Dolly Ahluwalia,Priyanshu Chatterjee,Tisca Chopra,160000000,9500000
